ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL117052,CHEMBL117052,NC1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1,5.0,nM,8.3,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL117166,CHEMBL117166,c1cncc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)c1,20.0,nM,7.7,CHEMBL818936,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL117983,CHEMBL117983,CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,10.0,nM,8.0,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118386,CHEMBL118386,c1cc(OCCN2CCOCC2)cc(-c2cnc3c(-c4ccsc4)cnn3c2)c1,14.0,nM,7.85,CHEMBL818936,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118400,CHEMBL118400,CN1CCN(CCCn2ccc(-c3cnc4c(-c5ccsc5)cnn4c3)cc2=O)CC1,7.0,nM,8.15,CHEMBL818936,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118440,CHEMBL118440,O=c1[nH]c2ccccc2cc1-c1nc2ccccc2[nH]1,45.0,nM,7.35,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118569,CHEMBL118569,COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,7.0,nM,8.15,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118748,CHEMBL118748,O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,8.0,nM,8.1,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL118832,CHEMBL118832,O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,11.0,nM,7.96,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL119276,CHEMBL119276,CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,4.0,nM,8.4,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL119552,CHEMBL119552,O=C(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,5.0,nM,8.3,CHEMBL820698,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1202473,CHEMBL1202473,COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,7.0,nM,8.15,CHEMBL817494,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1202477,CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,9.0,nM,8.05,CHEMBL817494,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1202478,CHEMBL1202478,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,8.0,nM,8.1,CHEMBL817494,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL121405,CHEMBL121405,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,1400.0,nM,5.85,CHEMBL818932,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL127907,CHEMBL127907,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,50.0,nM,7.3,CHEMBL812620,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13354,CHEMBL13354,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCOCC1,90.0,nM,7.05,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13485,CHEMBL13485,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,27.0,nM,7.57,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13608,CHEMBL13608,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1,60.0,nM,7.22,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13629,CHEMBL13629,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C,32.0,nM,7.5,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13976,CHEMBL13976,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN(C)C,80.0,nM,7.1,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL13983,CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,25.0,nM,7.6,CHEMBL819556,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL146694,CHEMBL146694,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c(C)c(CCC(=O)O)c1C,3000.0,nM,5.52,CHEMBL696131,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL146697,CHEMBL146697,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,920.0,nM,6.04,CHEMBL816967,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL147112,CHEMBL147112,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc(CCC(=O)O)c1C,40.0,nM,7.4,CHEMBL696131,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL147138,CHEMBL147138,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC,800.0,nM,6.1,CHEMBL812620,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL147180,CHEMBL147180,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCCC1,40.0,nM,7.4,CHEMBL812620,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL147192,CHEMBL147192,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1ccnc1,40.0,nM,7.4,CHEMBL812620,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL147761,CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,100.0,nM,7.0,CHEMBL696131,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL148471,CHEMBL148471,O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)Cc1ccccc1-3,414.0,nM,6.38,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
